muestra	archivo	subtipo	numero_segmentos_detectados	segmentos_presentes	segmentos_ausentes	longitud_total	N_total	porcentaje_N_total	PB2_presente	PB2_longitud	PB2_N	PB2_porcentaje_N	PB2_estado	PB1_presente	PB1_longitud	PB1_N	PB1_porcentaje_N	PB1_estado	PA_presente	PA_longitud	PA_N	PA_porcentaje_N	PA_estado	HA_presente	HA_longitud	HA_N	HA_porcentaje_N	HA_estado	NP_presente	NP_longitud	NP_N	NP_porcentaje_N	NP_estado	NA_presente	NA_longitud	NA_N	NA_porcentaje_N	NA_estado	M_presente	M_longitud	M_N	M_porcentaje_N	M_estado	NS_presente	NS_longitud	NS_N	NS_porcentaje_N	NS_estado	estado_general
IonXpress_067_232589392	IonXpress_067_232589392.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13234	1234	9.32	Sí	2280	224	9.82	Revisar por N	Sí	2275	258	11.34	Muchos N	Sí	2152	43	2.0	Correcto	Sí	1752	191	10.9	Muchos N	Sí	1497	203	13.56	Muchos N	Sí	1433	153	10.68	Muchos N	Sí	982	26	2.65	Correcto	Sí	863	136	15.76	Muchos N	Revisar HA/NA
IonXpress_067_232590680	IonXpress_067_232590680.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	1775	13.44	Sí	2280	800	35.09	Muchos N	Sí	2274	27	1.19	Correcto	Sí	2151	71	3.3	Correcto	Sí	1718	393	22.88	Muchos N	Sí	1497	21	1.4	Correcto	Sí	1439	117	8.13	Revisar por N	Sí	982	25	2.55	Correcto	Sí	863	321	37.2	Muchos N	Revisar HA/NA
IonXpress_068_232566230	IonXpress_068_232566230.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	5155	38.96	Sí	2280	872	38.25	Muchos N	Sí	2274	691	30.39	Muchos N	Sí	2150	667	31.02	Muchos N	Sí	1753	1083	61.78	Muchos N	Sí	1497	449	29.99	Muchos N	Sí	1433	769	53.66	Muchos N	Sí	982	46	4.68	Correcto	Sí	863	578	66.98	Muchos N	Revisar HA/NA
IonXpress_068_232574776	IonXpress_068_232574776.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	893	6.75	Sí	2280	109	4.78	Correcto	Sí	2274	163	7.17	Revisar por N	Sí	2151	40	1.86	Correcto	Sí	1752	97	5.54	Revisar por N	Sí	1497	343	22.91	Muchos N	Sí	1433	60	4.19	Correcto	Sí	982	30	3.05	Correcto	Sí	863	51	5.91	Revisar por N	Revisar HA/NA
IonXpress_068_232582476	IonXpress_068_232582476.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13240	8291	62.62	Sí	2280	1474	64.65	Muchos N	Sí	2274	1188	52.24	Muchos N	Sí	2159	1154	53.45	Muchos N	Sí	1752	1356	77.4	Muchos N	Sí	1497	971	64.86	Muchos N	Sí	1433	830	57.92	Muchos N	Sí	982	548	55.8	Muchos N	Sí	863	770	89.22	Muchos N	Revisar HA/NA
IonXpress_068_232583685	IonXpress_068_232583685.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	1586	11.99	Sí	2280	248	10.88	Muchos N	Sí	2275	251	11.03	Muchos N	Sí	2151	85	3.95	Correcto	Sí	1752	344	19.63	Muchos N	Sí	1497	173	11.56	Muchos N	Sí	1433	158	11.03	Muchos N	Sí	982	28	2.85	Correcto	Sí	863	299	34.65	Muchos N	Revisar HA/NA
IonXpress_068_232589381	IonXpress_068_232589381.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	2024	15.3	Sí	2280	506	22.19	Muchos N	Sí	2275	182	8.0	Revisar por N	Sí	2151	96	4.46	Correcto	Sí	1752	312	17.81	Muchos N	Sí	1497	202	13.49	Muchos N	Sí	1433	180	12.56	Muchos N	Sí	982	26	2.65	Correcto	Sí	863	520	60.25	Muchos N	Revisar HA/NA
IonXpress_068_232590701	IonXpress_068_232590701.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	5155	38.96	Sí	2280	872	38.25	Muchos N	Sí	2274	691	30.39	Muchos N	Sí	2150	667	31.02	Muchos N	Sí	1753	1083	61.78	Muchos N	Sí	1497	449	29.99	Muchos N	Sí	1433	769	53.66	Muchos N	Sí	982	46	4.68	Correcto	Sí	863	578	66.98	Muchos N	Revisar HA/NA
IonXpress_069_232566243	IonXpress_069_232566243.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	391	2.95	Sí	2280	55	2.41	Correcto	Sí	2274	25	1.1	Correcto	Sí	2151	23	1.07	Correcto	Sí	1752	131	7.48	Revisar por N	Sí	1497	18	1.2	Correcto	Sí	1433	57	3.98	Correcto	Sí	982	32	3.26	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_069_232574781	IonXpress_069_232574781.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	970	7.33	Sí	2280	108	4.74	Correcto	Sí	2274	167	7.34	Revisar por N	Sí	2151	44	2.05	Correcto	Sí	1752	258	14.73	Muchos N	Sí	1497	245	16.37	Muchos N	Sí	1433	65	4.54	Correcto	Sí	982	32	3.26	Correcto	Sí	863	51	5.91	Revisar por N	Revisar HA/NA
IonXpress_069_232582452	IonXpress_069_232582452.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	9329	70.5	Sí	2280	1766	77.46	Muchos N	Sí	2274	1403	61.7	Muchos N	Sí	2151	1366	63.51	Muchos N	Sí	1752	1504	85.84	Muchos N	Sí	1497	979	65.4	Muchos N	Sí	1433	1144	79.83	Muchos N	Sí	982	563	57.33	Muchos N	Sí	863	604	69.99	Muchos N	Revisar HA/NA
IonXpress_069_232584004	IonXpress_069_232584004.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	1988	15.02	Sí	2280	447	19.61	Muchos N	Sí	2275	521	22.9	Muchos N	Sí	2151	120	5.58	Revisar por N	Sí	1751	289	16.5	Muchos N	Sí	1497	258	17.23	Muchos N	Sí	1433	72	5.02	Revisar por N	Sí	982	33	3.36	Correcto	Sí	863	248	28.74	Muchos N	Revisar HA/NA
IonXpress_069_232589052	IonXpress_069_232589052.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	3801	28.72	Sí	2280	601	26.36	Muchos N	Sí	2275	653	28.7	Muchos N	Sí	2151	256	11.9	Muchos N	Sí	1752	979	55.88	Muchos N	Sí	1497	292	19.51	Muchos N	Sí	1433	269	18.77	Muchos N	Sí	982	223	22.71	Muchos N	Sí	863	528	61.18	Muchos N	Revisar HA/NA
IonXpress_069_232590862	IonXpress_069_232590862.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	391	2.95	Sí	2280	55	2.41	Correcto	Sí	2274	25	1.1	Correcto	Sí	2151	23	1.07	Correcto	Sí	1752	131	7.48	Revisar por N	Sí	1497	18	1.2	Correcto	Sí	1433	57	3.98	Correcto	Sí	982	32	3.26	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_069_232602544	IonXpress_069_232602544.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	1103	8.35	Sí	2280	314	13.77	Muchos N	Sí	2274	128	5.63	Revisar por N	Sí	2151	44	2.05	Correcto	Sí	1718	149	8.67	Revisar por N	Sí	1497	21	1.4	Correcto	Sí	1439	114	7.92	Revisar por N	Sí	982	21	2.14	Correcto	Sí	863	312	36.15	Muchos N	Revisar HA/NA
IonXpress_070_232566246	IonXpress_070_232566246.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13205	5119	38.77	Sí	2280	897	39.34	Muchos N	Sí	2274	621	27.31	Muchos N	Sí	2152	324	15.06	Muchos N	Sí	1718	806	46.92	Muchos N	Sí	1497	889	59.39	Muchos N	Sí	1439	955	66.37	Muchos N	Sí	982	46	4.68	Correcto	Sí	863	581	67.32	Muchos N	Revisar HA/NA
IonXpress_070_232574818	IonXpress_070_232574818.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	499	3.77	Sí	2280	108	4.74	Correcto	Sí	2274	25	1.1	Correcto	Sí	2151	43	2.0	Correcto	Sí	1752	114	6.51	Revisar por N	Sí	1497	69	4.61	Correcto	Sí	1433	57	3.98	Correcto	Sí	982	33	3.36	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_070_232581031	IonXpress_070_232581031.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13237	6870	51.9	Sí	2280	1320	57.89	Muchos N	Sí	2274	1028	45.21	Muchos N	Sí	2156	769	35.67	Muchos N	Sí	1752	1302	74.32	Muchos N	Sí	1497	812	54.24	Muchos N	Sí	1433	875	61.06	Muchos N	Sí	982	393	40.02	Muchos N	Sí	863	371	42.99	Muchos N	Revisar HA/NA
IonXpress_070_232584350	IonXpress_070_232584350.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	582	4.4	Sí	2280	242	10.61	Muchos N	Sí	2274	23	1.01	Correcto	Sí	2151	39	1.81	Correcto	Sí	1752	101	5.76	Revisar por N	Sí	1497	56	3.74	Correcto	Sí	1433	39	2.72	Correcto	Sí	982	31	3.16	Correcto	Sí	863	51	5.91	Revisar por N	Revisar HA/NA
IonXpress_070_232589051	IonXpress_070_232589051.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	2517	19.02	Sí	2280	788	34.56	Muchos N	Sí	2274	239	10.51	Muchos N	Sí	2151	118	5.49	Revisar por N	Sí	1753	497	28.35	Muchos N	Sí	1497	245	16.37	Muchos N	Sí	1433	72	5.02	Revisar por N	Sí	982	18	1.83	Correcto	Sí	863	540	62.57	Muchos N	Revisar HA/NA
IonXpress_070_232590971	IonXpress_070_232590971.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13205	5119	38.77	Sí	2280	897	39.34	Muchos N	Sí	2274	621	27.31	Muchos N	Sí	2152	324	15.06	Muchos N	Sí	1718	806	46.92	Muchos N	Sí	1497	889	59.39	Muchos N	Sí	1439	955	66.37	Muchos N	Sí	982	46	4.68	Correcto	Sí	863	581	67.32	Muchos N	Revisar HA/NA
IonXpress_070_232603661	IonXpress_070_232603661.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	617	4.66	Sí	2280	55	2.41	Correcto	Sí	2275	76	3.34	Correcto	Sí	2151	38	1.77	Correcto	Sí	1752	87	4.97	Correcto	Sí	1497	7	0.47	Correcto	Sí	1433	155	10.82	Muchos N	Sí	982	29	2.95	Correcto	Sí	863	170	19.7	Muchos N	Revisar HA/NA
IonXpress_071_232566362	IonXpress_071_232566362.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	839	6.34	Sí	2280	137	6.01	Revisar por N	Sí	2273	133	5.85	Revisar por N	Sí	2151	39	1.81	Correcto	Sí	1752	206	11.76	Muchos N	Sí	1497	172	11.49	Muchos N	Sí	1433	70	4.88	Correcto	Sí	982	32	3.26	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_071_232574957	IonXpress_071_232574957.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	917	6.93	Sí	2280	167	7.32	Revisar por N	Sí	2273	27	1.19	Correcto	Sí	2151	44	2.05	Correcto	Sí	1752	161	9.19	Revisar por N	Sí	1497	111	7.41	Revisar por N	Sí	1433	69	4.82	Correcto	Sí	982	33	3.36	Correcto	Sí	863	305	35.34	Muchos N	Revisar HA/NA
IonXpress_071_232581045	IonXpress_071_232581045.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	3873	29.27	Sí	2280	958	42.02	Muchos N	Sí	2274	593	26.08	Muchos N	Sí	2151	128	5.95	Revisar por N	Sí	1752	840	47.95	Muchos N	Sí	1497	266	17.77	Muchos N	Sí	1433	455	31.75	Muchos N	Sí	982	55	5.6	Revisar por N	Sí	863	578	66.98	Muchos N	Revisar HA/NA
IonXpress_071_232584616	IonXpress_071_232584616.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	2629	19.87	Sí	2280	700	30.7	Muchos N	Sí	2275	541	23.78	Muchos N	Sí	2150	119	5.53	Revisar por N	Sí	1752	350	19.98	Muchos N	Sí	1497	237	15.83	Muchos N	Sí	1433	72	5.02	Revisar por N	Sí	982	33	3.36	Correcto	Sí	863	577	66.86	Muchos N	Revisar HA/NA
IonXpress_071_232589116	IonXpress_071_232589116.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	2118	16.01	Sí	2280	386	16.93	Muchos N	Sí	2274	345	15.17	Muchos N	Sí	2151	91	4.23	Correcto	Sí	1752	345	19.69	Muchos N	Sí	1497	16	1.07	Correcto	Sí	1433	344	24.01	Muchos N	Sí	982	46	4.68	Correcto	Sí	863	545	63.15	Muchos N	Revisar HA/NA
IonXpress_071_232600003	IonXpress_071_232600003.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13231	839	6.34	Sí	2280	137	6.01	Revisar por N	Sí	2273	133	5.85	Revisar por N	Sí	2151	39	1.81	Correcto	Sí	1752	206	11.76	Muchos N	Sí	1497	172	11.49	Muchos N	Sí	1433	70	4.88	Correcto	Sí	982	32	3.26	Correcto	Sí	863	50	5.79	Revisar por N	Revisar HA/NA
IonXpress_071_232603931	IonXpress_071_232603931.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	935	7.08	Sí	2280	216	9.47	Revisar por N	Sí	2274	27	1.19	Correcto	Sí	2151	60	2.79	Correcto	Sí	1718	231	13.45	Muchos N	Sí	1497	6	0.4	Correcto	Sí	1439	215	14.94	Muchos N	Sí	982	25	2.55	Correcto	Sí	863	155	17.96	Muchos N	Revisar HA/NA
IonXpress_072_232566363	IonXpress_072_232566363.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	378	2.86	Sí	2280	55	2.41	Correcto	Sí	2274	16	0.7	Correcto	Sí	2151	41	1.91	Correcto	Sí	1718	25	1.46	Correcto	Sí	1496	5	0.33	Correcto	Sí	1439	80	5.56	Revisar por N	Sí	982	21	2.14	Correcto	Sí	863	135	15.64	Muchos N	Revisar HA/NA
IonXpress_072_232574989	IonXpress_072_232574989.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	390	2.95	Sí	2280	55	2.41	Correcto	Sí	2274	25	1.1	Correcto	Sí	2151	42	1.95	Correcto	Sí	1752	114	6.51	Revisar por N	Sí	1497	19	1.27	Correcto	Sí	1433	60	4.19	Correcto	Sí	982	26	2.65	Correcto	Sí	863	49	5.68	Revisar por N	Revisar HA/NA
IonXpress_072_232581089	IonXpress_072_232581089.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13207	4369	33.08	Sí	2280	849	37.24	Muchos N	Sí	2274	402	17.68	Muchos N	Sí	2151	336	15.62	Muchos N	Sí	1719	896	52.12	Muchos N	Sí	1497	391	26.12	Muchos N	Sí	1440	909	63.12	Muchos N	Sí	983	113	11.5	Muchos N	Sí	863	473	54.81	Muchos N	Revisar HA/NA
IonXpress_072_232589061	IonXpress_072_232589061.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13234	4275	32.3	Sí	2280	796	34.91	Muchos N	Sí	2274	245	10.77	Muchos N	Sí	2152	799	37.13	Muchos N	Sí	1751	742	42.38	Muchos N	Sí	1497	21	1.4	Correcto	Sí	1435	852	59.37	Muchos N	Sí	982	539	54.89	Muchos N	Sí	863	281	32.56	Muchos N	Revisar HA/NA
IonXpress_072_232600071	IonXpress_072_232600071.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	378	2.86	Sí	2280	55	2.41	Correcto	Sí	2274	16	0.7	Correcto	Sí	2151	41	1.91	Correcto	Sí	1718	25	1.46	Correcto	Sí	1496	5	0.33	Correcto	Sí	1439	80	5.56	Revisar por N	Sí	982	21	2.14	Correcto	Sí	863	135	15.64	Muchos N	Revisar HA/NA
IonXpress_072_232604711	IonXpress_072_232604711.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13232	716	5.41	Sí	2280	69	3.03	Correcto	Sí	2274	26	1.14	Correcto	Sí	2151	42	1.95	Correcto	Sí	1752	223	12.73	Muchos N	Sí	1497	12	0.8	Correcto	Sí	1433	153	10.68	Muchos N	Sí	982	32	3.26	Correcto	Sí	863	159	18.42	Muchos N	Revisar HA/NA
IonXpress_073_232566365	IonXpress_073_232566365.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	1009	7.64	Sí	2280	260	11.4	Muchos N	Sí	2274	27	1.19	Correcto	Sí	2151	56	2.6	Correcto	Sí	1718	204	11.87	Muchos N	Sí	1497	21	1.4	Correcto	Sí	1439	119	8.27	Revisar por N	Sí	982	25	2.55	Correcto	Sí	863	297	34.41	Muchos N	Revisar HA/NA
IonXpress_073_232575054	IonXpress_073_232575054.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13238	3315	25.04	Sí	2280	488	21.4	Muchos N	Sí	2274	255	11.21	Muchos N	Sí	2151	536	24.92	Muchos N	Sí	1752	778	44.41	Muchos N	Sí	1497	242	16.17	Muchos N	Sí	1439	669	46.49	Muchos N	Sí	982	25	2.55	Correcto	Sí	863	322	37.31	Muchos N	Revisar HA/NA
IonXpress_073_232584993	IonXpress_073_232584993.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13197	3390	25.69	Sí	2280	113	4.96	Correcto	Sí	2274	500	21.99	Muchos N	Sí	2150	178	8.28	Revisar por N	Sí	1718	1140	66.36	Muchos N	Sí	1497	266	17.77	Muchos N	Sí	1433	824	57.5	Muchos N	Sí	982	45	4.58	Correcto	Sí	863	324	37.54	Muchos N	Revisar HA/NA
IonXpress_073_232589003	IonXpress_073_232589003.consensus.fasta	H1N1	8	PB2,PB1,PA,HA,NP,NA,M,NS		13233	6464	48.85	Sí	2280	1323	58.03	Muchos N	Sí	2275	532	23.38	Muchos N	Sí	2151	1023	47.56	Muchos N	Sí	1752	1179	67.29	Muchos N	Sí	1497	465	31.06	Muchos N	Sí	1433	1195	83.39	Muchos N	Sí	982	216	22.0	Muchos N	Sí	863	531	61.53	Muchos N	Revisar HA/NA
IonXpress_073_232600083	IonXpress_073_232600083.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13204	1009	7.64	Sí	2280	260	11.4	Muchos N	Sí	2274	27	1.19	Correcto	Sí	2151	56	2.6	Correcto	Sí	1718	204	11.87	Muchos N	Sí	1497	21	1.4	Correcto	Sí	1439	119	8.27	Revisar por N	Sí	982	25	2.55	Correcto	Sí	863	297	34.41	Muchos N	Revisar HA/NA
IonXpress_073_232604737	IonXpress_073_232604737.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13205	400	3.03	Sí	2280	55	2.41	Correcto	Sí	2274	15	0.66	Correcto	Sí	2151	39	1.81	Correcto	Sí	1718	19	1.11	Correcto	Sí	1497	16	1.07	Correcto	Sí	1440	87	6.04	Revisar por N	Sí	982	23	2.34	Correcto	Sí	863	146	16.92	Muchos N	Revisar HA/NA
IonXpress_074_232566520	IonXpress_074_232566520.consensus.fasta	H3N2	8	PB2,PB1,PA,HA,NP,NA,M,NS		13203	1105	8.37	Sí	2280	422	18.51	Muchos N	Sí	2274	26	1.14	Correcto	Sí	2151	48	2.23	Correcto	Sí	1718	154	8.96	Revisar por N	Sí	1496	20	1.34	Correcto	Sí	1439	103	7.16	Revisar por N	Sí	982	25	2.55	Correcto	Sí	863	307	35.57	Muchos N	Revisar HA/NA
