muestra	archivo	subtipo	segmento	header_original	longitud_total	N_total	primera_base_real	ultima_base_real	longitud_cubierta	cobertura_pct_aprox	N_internas	porcentaje_N_internas	calidad	utilizable
IonXpress_067_232590680	IonXpress_067_232590680.consensus.fasta	H3N2	HA	A_HA_H3	1718	393	276	1689	1414	78.56	89	6.29	Dudosa	Sí
IonXpress_067_232590680	IonXpress_067_232590680.consensus.fasta	H3N2	NA	A_NA_N2	1439	117	48	1385	1338	86.32	16	1.2	Aceptable	Sí
IonXpress_068_232566230	IonXpress_068_232566230.consensus.fasta	H1N1	HA	A_HA_H1	1753	1083	405	1357	953	52.94	283	29.7	Excluir	No
IonXpress_068_232566230	IonXpress_068_232566230.consensus.fasta	H1N1	NA	A_NA_N1	1433	769	394	1220	827	53.35	163	19.71	Excluir	No
IonXpress_068_232574776	IonXpress_068_232574776.consensus.fasta	H1N1	HA	A_HA_H1	1752	97	35	1689	1655	91.94	0	0.0	Buena	Sí
IonXpress_068_232574776	IonXpress_068_232574776.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_068_232582476	IonXpress_068_232582476.consensus.fasta	H1N1	HA	A_HA_H1	1752	1356	298	1043	746	41.44	350	46.92	Excluir	No
IonXpress_068_232582476	IonXpress_068_232582476.consensus.fasta	H1N1	NA	A_NA_N1	1433	830	458	1220	763	49.23	160	20.97	Excluir	No
IonXpress_068_232583685	IonXpress_068_232583685.consensus.fasta	H1N1	HA	A_HA_H1	1752	344	275	1689	1415	78.61	7	0.49	Dudosa	Sí
IonXpress_068_232583685	IonXpress_068_232583685.consensus.fasta	H1N1	NA	A_NA_N1	1433	158	29	1401	1373	88.58	98	7.14	Dudosa	Sí
IonXpress_068_232589381	IonXpress_068_232589381.consensus.fasta	H1N1	HA	A_HA_H1	1752	312	241	1688	1448	80.44	8	0.55	Aceptable	Sí
IonXpress_068_232589381	IonXpress_068_232589381.consensus.fasta	H1N1	NA	A_NA_N1	1433	180	39	1401	1363	87.94	110	8.07	Dudosa	Sí
IonXpress_068_232590701	IonXpress_068_232590701.consensus.fasta	H1N1	HA	A_HA_H1	1753	1083	405	1357	953	52.94	283	29.7	Excluir	No
IonXpress_068_232590701	IonXpress_068_232590701.consensus.fasta	H1N1	NA	A_NA_N1	1433	769	394	1220	827	53.35	163	19.71	Excluir	No
IonXpress_069_232566243	IonXpress_069_232566243.consensus.fasta	H1N1	HA	A_HA_H1	1752	131	54	1690	1637	90.94	16	0.98	Buena	Sí
IonXpress_069_232566243	IonXpress_069_232566243.consensus.fasta	H1N1	NA	A_NA_N1	1433	57	29	1404	1376	88.77	0	0.0	Aceptable	Sí
IonXpress_069_232574781	IonXpress_069_232574781.consensus.fasta	H1N1	HA	A_HA_H1	1752	258	176	1689	1514	84.11	20	1.32	Aceptable	Sí
IonXpress_069_232574781	IonXpress_069_232574781.consensus.fasta	H1N1	NA	A_NA_N1	1433	65	39	1406	1368	88.26	0	0.0	Aceptable	Sí
IonXpress_069_232582452	IonXpress_069_232582452.consensus.fasta	H1N1	HA	A_HA_H1	1752	1504	467	1320	854	47.44	606	70.96	Excluir	No
IonXpress_069_232582452	IonXpress_069_232582452.consensus.fasta	H1N1	NA	A_NA_N1	1433	1144	498	1220	723	46.65	434	60.03	Excluir	No
IonXpress_069_232584004	IonXpress_069_232584004.consensus.fasta	H1N1	HA	A_HA_H1	1751	289	226	1687	1462	81.22	0	0.0	Aceptable	Sí
IonXpress_069_232584004	IonXpress_069_232584004.consensus.fasta	H1N1	NA	A_NA_N1	1433	72	39	1399	1361	87.81	0	0.0	Aceptable	Sí
IonXpress_069_232589052	IonXpress_069_232589052.consensus.fasta	H1N1	HA	A_HA_H1	1752	979	23	1356	1334	74.11	561	42.05	Excluir	No
IonXpress_069_232589052	IonXpress_069_232589052.consensus.fasta	H1N1	NA	A_NA_N1	1433	269	39	1315	1277	82.39	113	8.85	Dudosa	Sí
IonXpress_069_232590862	IonXpress_069_232590862.consensus.fasta	H1N1	HA	A_HA_H1	1752	131	54	1690	1637	90.94	16	0.98	Buena	Sí
IonXpress_069_232590862	IonXpress_069_232590862.consensus.fasta	H1N1	NA	A_NA_N1	1433	57	29	1404	1376	88.77	0	0.0	Aceptable	Sí
IonXpress_069_232602544	IonXpress_069_232602544.consensus.fasta	H3N2	HA	A_HA_H3	1718	149	103	1689	1587	88.17	18	1.13	Aceptable	Sí
IonXpress_069_232602544	IonXpress_069_232602544.consensus.fasta	H3N2	NA	A_NA_N2	1439	114	48	1385	1338	86.32	13	0.97	Aceptable	Sí
IonXpress_070_232566246	IonXpress_070_232566246.consensus.fasta	H3N2	HA	A_HA_H3	1718	806	231	1677	1447	80.39	535	36.97	Excluir	No
IonXpress_070_232566246	IonXpress_070_232566246.consensus.fasta	H3N2	NA	A_NA_N2	1439	955	167	813	647	41.74	163	25.19	Excluir	No
IonXpress_070_232574818	IonXpress_070_232574818.consensus.fasta	H1N1	HA	A_HA_H1	1752	114	35	1690	1656	92.0	18	1.09	Aceptable	Sí
IonXpress_070_232574818	IonXpress_070_232574818.consensus.fasta	H1N1	NA	A_NA_N1	1433	57	27	1402	1376	88.77	0	0.0	Aceptable	Sí
IonXpress_070_232581031	IonXpress_070_232581031.consensus.fasta	H1N1	HA	A_HA_H1	1752	1302	363	1006	644	35.78	194	30.12	Excluir	No
IonXpress_070_232581031	IonXpress_070_232581031.consensus.fasta	H1N1	NA	A_NA_N1	1433	875	470	1220	751	48.45	193	25.7	Excluir	No
IonXpress_070_232584350	IonXpress_070_232584350.consensus.fasta	H1N1	HA	A_HA_H1	1752	101	39	1694	1656	92.0	5	0.3	Buena	Sí
IonXpress_070_232584350	IonXpress_070_232584350.consensus.fasta	H1N1	NA	A_NA_N1	1433	39	13	1406	1394	89.94	0	0.0	Aceptable	Sí
IonXpress_070_232589051	IonXpress_070_232589051.consensus.fasta	H1N1	HA	A_HA_H1	1753	497	23	1689	1667	92.61	411	24.66	Excluir	No
IonXpress_070_232589051	IonXpress_070_232589051.consensus.fasta	H1N1	NA	A_NA_N1	1433	72	39	1399	1361	87.81	0	0.0	Aceptable	Sí
IonXpress_070_232590971	IonXpress_070_232590971.consensus.fasta	H3N2	HA	A_HA_H3	1718	806	231	1677	1447	80.39	535	36.97	Excluir	No
IonXpress_070_232590971	IonXpress_070_232590971.consensus.fasta	H3N2	NA	A_NA_N2	1439	955	167	813	647	41.74	163	25.19	Excluir	No
IonXpress_070_232603661	IonXpress_070_232603661.consensus.fasta	H1N1	HA	A_HA_H1	1752	87	35	1699	1665	92.5	0	0.0	Buena	Sí
IonXpress_070_232603661	IonXpress_070_232603661.consensus.fasta	H1N1	NA	A_NA_N1	1433	155	29	1402	1374	88.65	96	6.99	Dudosa	Sí
IonXpress_071_232566362	IonXpress_071_232566362.consensus.fasta	H1N1	HA	A_HA_H1	1752	206	143	1694	1552	86.22	6	0.39	Aceptable	Sí
IonXpress_071_232566362	IonXpress_071_232566362.consensus.fasta	H1N1	NA	A_NA_N1	1433	70	39	1401	1363	87.94	0	0.0	Aceptable	Sí
IonXpress_071_232574957	IonXpress_071_232574957.consensus.fasta	H1N1	HA	A_HA_H1	1752	161	94	1689	1596	88.67	5	0.31	Aceptable	Sí
IonXpress_071_232574957	IonXpress_071_232574957.consensus.fasta	H1N1	NA	A_NA_N1	1433	69	39	1402	1364	88.0	0	0.0	Aceptable	Sí
IonXpress_071_232581045	IonXpress_071_232581045.consensus.fasta	H1N1	HA	A_HA_H1	1752	840	405	1688	1284	71.33	372	28.97	Excluir	No
IonXpress_071_232581045	IonXpress_071_232581045.consensus.fasta	H1N1	NA	A_NA_N1	1433	455	408	1399	992	64.0	14	1.41	Dudosa	Sí
IonXpress_071_232584616	IonXpress_071_232584616.consensus.fasta	H1N1	HA	A_HA_H1	1752	350	283	1688	1406	78.11	4	0.28	Dudosa	Sí
IonXpress_071_232584616	IonXpress_071_232584616.consensus.fasta	H1N1	NA	A_NA_N1	1433	72	39	1399	1361	87.81	0	0.0	Aceptable	Sí
IonXpress_071_232589116	IonXpress_071_232589116.consensus.fasta	H1N1	HA	A_HA_H1	1752	345	282	1688	1407	78.17	0	0.0	Dudosa	Sí
IonXpress_071_232589116	IonXpress_071_232589116.consensus.fasta	H1N1	NA	A_NA_N1	1433	344	312	1400	1089	70.26	0	0.0	Dudosa	Sí
IonXpress_071_232600003	IonXpress_071_232600003.consensus.fasta	H1N1	HA	A_HA_H1	1752	206	143	1694	1552	86.22	6	0.39	Aceptable	Sí
IonXpress_071_232600003	IonXpress_071_232600003.consensus.fasta	H1N1	NA	A_NA_N1	1433	70	39	1401	1363	87.94	0	0.0	Aceptable	Sí
IonXpress_071_232603931	IonXpress_071_232603931.consensus.fasta	H3N2	HA	A_HA_H3	1718	231	32	1677	1646	91.44	159	9.66	Dudosa	Sí
IonXpress_071_232603931	IonXpress_071_232603931.consensus.fasta	H3N2	NA	A_NA_N2	1439	215	154	1377	1224	78.97	0	0.0	Dudosa	Sí
IonXpress_072_232566363	IonXpress_072_232566363.consensus.fasta	H3N2	HA	A_HA_H3	1718	25	2	1694	1693	94.06	0	0.0	Buena	Sí
IonXpress_072_232566363	IonXpress_072_232566363.consensus.fasta	H3N2	NA	A_NA_N2	1439	80	31	1389	1359	87.68	0	0.0	Aceptable	Sí
IonXpress_072_232574989	IonXpress_072_232574989.consensus.fasta	H1N1	HA	A_HA_H1	1752	114	35	1690	1656	92.0	18	1.09	Aceptable	Sí
IonXpress_072_232574989	IonXpress_072_232574989.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_072_232581089	IonXpress_072_232581089.consensus.fasta	H3N2	HA	A_HA_H3	1719	896	280	1690	1411	78.39	588	41.67	Excluir	No
IonXpress_072_232581089	IonXpress_072_232581089.consensus.fasta	H3N2	NA	A_NA_N2	1440	909	130	1051	922	59.48	391	42.41	Excluir	No
IonXpress_072_232589061	IonXpress_072_232589061.consensus.fasta	H1N1	HA	A_HA_H1	1751	742	283	1355	1073	59.61	64	5.96	Excluir	No
IonXpress_072_232589061	IonXpress_072_232589061.consensus.fasta	H1N1	NA	A_NA_N1	1435	852	531	1222	692	44.65	109	15.75	Excluir	No
IonXpress_072_232600071	IonXpress_072_232600071.consensus.fasta	H3N2	HA	A_HA_H3	1718	25	2	1694	1693	94.06	0	0.0	Buena	Sí
IonXpress_072_232600071	IonXpress_072_232600071.consensus.fasta	H3N2	NA	A_NA_N2	1439	80	31	1389	1359	87.68	0	0.0	Aceptable	Sí
IonXpress_072_232604711	IonXpress_072_232604711.consensus.fasta	H1N1	HA	A_HA_H1	1752	223	166	1699	1534	85.22	5	0.33	Aceptable	Sí
IonXpress_072_232604711	IonXpress_072_232604711.consensus.fasta	H1N1	NA	A_NA_N1	1433	153	27	1401	1375	88.71	95	6.91	Dudosa	Sí
IonXpress_073_232566365	IonXpress_073_232566365.consensus.fasta	H3N2	HA	A_HA_H3	1718	204	34	1677	1644	91.33	130	7.91	Dudosa	Sí
IonXpress_073_232566365	IonXpress_073_232566365.consensus.fasta	H3N2	NA	A_NA_N2	1439	119	48	1378	1331	85.87	11	0.83	Aceptable	Sí
IonXpress_073_232575054	IonXpress_073_232575054.consensus.fasta	H1N1	HA	A_HA_H1	1752	778	23	1688	1666	92.56	692	41.54	Excluir	No
IonXpress_073_232575054	IonXpress_073_232575054.consensus.fasta	H3N2	NA	A_NA_N2	1439	669	167	1225	1059	68.32	289	27.29	Excluir	No
IonXpress_073_232584993	IonXpress_073_232584993.consensus.fasta	H3N2	HA	A_HA_H3	1718	1140	207	1369	1163	64.61	585	50.3	Excluir	No
IonXpress_073_232584993	IonXpress_073_232584993.consensus.fasta	H1N1	NA	A_NA_N1	1433	824	298	1315	1018	65.68	409	40.18	Excluir	No
IonXpress_073_232589003	IonXpress_073_232589003.consensus.fasta	H1N1	HA	A_HA_H1	1752	1179	23	1356	1334	74.11	761	57.05	Excluir	No
IonXpress_073_232589003	IonXpress_073_232589003.consensus.fasta	H1N1	NA	A_NA_N1	1433	1195	583	1315	733	47.29	495	67.53	Excluir	No
IonXpress_073_232600083	IonXpress_073_232600083.consensus.fasta	H3N2	HA	A_HA_H3	1718	204	34	1677	1644	91.33	130	7.91	Dudosa	Sí
IonXpress_073_232600083	IonXpress_073_232600083.consensus.fasta	H3N2	NA	A_NA_N2	1439	119	48	1378	1331	85.87	11	0.83	Aceptable	Sí
IonXpress_073_232604737	IonXpress_073_232604737.consensus.fasta	H3N2	HA	A_HA_H3	1718	19	2	1700	1699	94.39	0	0.0	Buena	Sí
IonXpress_073_232604737	IonXpress_073_232604737.consensus.fasta	H3N2	NA	A_NA_N2	1440	87	37	1389	1353	87.29	0	0.0	Aceptable	Sí
IonXpress_074_232566520	IonXpress_074_232566520.consensus.fasta	H3N2	HA	A_HA_H3	1718	154	40	1689	1650	91.67	86	5.21	Dudosa	Sí
IonXpress_074_232566520	IonXpress_074_232566520.consensus.fasta	H3N2	NA	A_NA_N2	1439	103	47	1388	1342	86.58	6	0.45	Aceptable	Sí
IonXpress_074_232575060	IonXpress_074_232575060.consensus.fasta	H1N1	HA	A_HA_H1	1752	92	33	1692	1660	92.22	0	0.0	Buena	Sí
IonXpress_074_232575060	IonXpress_074_232575060.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_074_232581264	IonXpress_074_232581264.consensus.fasta	H3N2	HA	A_HA_H3	1718	1275	166	1285	1120	62.22	677	60.45	Excluir	No
IonXpress_074_232581264	IonXpress_074_232581264.consensus.fasta	H3N2	NA	A_NA_N2	1440	827	167	1378	1212	78.19	599	49.42	Excluir	No
IonXpress_074_232585043	IonXpress_074_232585043.consensus.fasta	H1N1	HA	A_HA_H1	1752	1247	405	1356	952	52.89	447	46.95	Excluir	No
IonXpress_074_232585043	IonXpress_074_232585043.consensus.fasta	H1N1	NA	A_NA_N1	1433	901	39	1220	1182	76.26	650	54.99	Excluir	No
IonXpress_074_232589030	IonXpress_074_232589030.consensus.fasta	H3N2	HA	A_HA_H3	1718	1222	166	1369	1204	66.89	708	58.8	Excluir	No
IonXpress_074_232589030	IonXpress_074_232589030.consensus.fasta	H3N2	NA	A_NA_N2	1449	572	167	1394	1228	79.23	351	28.58	Excluir	No
IonXpress_074_232600103	IonXpress_074_232600103.consensus.fasta	H3N2	HA	A_HA_H3	1718	154	40	1689	1650	91.67	86	5.21	Dudosa	Sí
IonXpress_074_232600103	IonXpress_074_232600103.consensus.fasta	H3N2	NA	A_NA_N2	1439	103	47	1388	1342	86.58	6	0.45	Aceptable	Sí
IonXpress_074_232604880	IonXpress_074_232604880.consensus.fasta	H1N1	HA	A_HA_H1	1752	582	352	1688	1337	74.28	167	12.49	Dudosa	Sí
IonXpress_074_232604880	IonXpress_074_232604880.consensus.fasta	H1N1	NA	A_NA_N1	1433	200	39	1399	1361	87.81	128	9.4	Dudosa	Sí
IonXpress_075_232566527	IonXpress_075_232566527.consensus.fasta	H3N2	HA	A_HA_H3	1718	130	18	1689	1672	92.89	84	5.02	Dudosa	Sí
IonXpress_075_232566527	IonXpress_075_232566527.consensus.fasta	H3N2	NA	A_NA_N2	1439	107	48	1388	1341	86.52	9	0.67	Aceptable	Sí
IonXpress_075_232575070	IonXpress_075_232575070.consensus.fasta	H1N1	HA	A_HA_H1	1752	222	159	1688	1530	85.0	0	0.0	Aceptable	Sí
IonXpress_075_232575070	IonXpress_075_232575070.consensus.fasta	H1N1	NA	A_NA_N1	1433	72	39	1399	1361	87.81	0	0.0	Aceptable	Sí
IonXpress_075_232581369	IonXpress_075_232581369.consensus.fasta	H3N2	HA	A_HA_H3	1718	1127	151	1300	1150	63.89	559	48.61	Excluir	No
IonXpress_075_232581369	IonXpress_075_232581369.consensus.fasta	H3N2	NA	A_NA_N2	1439	727	167	1377	1211	78.13	499	41.21	Excluir	No
IonXpress_075_232585062	IonXpress_075_232585062.consensus.fasta	H1N1	HA	A_HA_H1	1752	1083	283	1356	1074	59.67	405	37.71	Excluir	No
IonXpress_075_232585062	IonXpress_075_232585062.consensus.fasta	H1N1	NA	A_NA_N1	1433	905	499	1315	817	52.71	289	35.37	Excluir	No
IonXpress_075_232588718	IonXpress_075_232588718.consensus.fasta	H3N2	HA	A_HA_H3	1718	146	33	1689	1657	92.06	85	5.13	Dudosa	Sí
IonXpress_075_232588718	IonXpress_075_232588718.consensus.fasta	H3N2	NA	A_NA_N2	1440	86	37	1390	1354	87.35	0	0.0	Aceptable	Sí
IonXpress_075_232600145	IonXpress_075_232600145.consensus.fasta	H3N2	HA	A_HA_H3	1718	130	18	1689	1672	92.89	84	5.02	Dudosa	Sí
IonXpress_075_232600145	IonXpress_075_232600145.consensus.fasta	H3N2	NA	A_NA_N2	1439	107	48	1388	1341	86.52	9	0.67	Aceptable	Sí
IonXpress_075_232604909	IonXpress_075_232604909.consensus.fasta	H1N1	HA	A_HA_H1	1752	152	88	1699	1612	89.56	12	0.74	Aceptable	Sí
IonXpress_075_232604909	IonXpress_075_232604909.consensus.fasta	H1N1	NA	A_NA_N1	1433	155	27	1402	1376	88.77	98	7.12	Dudosa	Sí
IonXpress_076_232568611	IonXpress_076_232568611.consensus.fasta	H3N2	HA	A_HA_H3	1718	169	38	1689	1652	91.78	103	6.23	Dudosa	Sí
IonXpress_076_232568611	IonXpress_076_232568611.consensus.fasta	H3N2	NA	A_NA_N2	1439	116	48	1383	1336	86.19	13	0.97	Aceptable	Sí
IonXpress_076_232575078	IonXpress_076_232575078.consensus.fasta	H1N1	HA	A_HA_H1	1752	323	249	1688	1440	80.0	11	0.76	Aceptable	Sí
IonXpress_076_232575078	IonXpress_076_232575078.consensus.fasta	H1N1	NA	A_NA_N1	1433	72	39	1399	1361	87.81	0	0.0	Aceptable	Sí
IonXpress_076_232581370	IonXpress_076_232581370.consensus.fasta	H1N1	HA	A_HA_H1	1752	882	235	1688	1454	80.78	584	40.17	Excluir	No
IonXpress_076_232581370	IonXpress_076_232581370.consensus.fasta	H1N1	NA	A_NA_N1	1433	637	298	1221	924	59.61	128	13.85	Excluir	No
IonXpress_076_232585263	IonXpress_076_232585263.consensus.fasta	H1N1	HA	A_HA_H1	1752	278	195	1688	1494	83.0	20	1.34	Aceptable	Sí
IonXpress_076_232585263	IonXpress_076_232585263.consensus.fasta	H1N1	NA	A_NA_N1	1433	177	38	1401	1364	88.0	108	7.92	Dudosa	Sí
IonXpress_076_232588675	IonXpress_076_232588675.consensus.fasta	H1N1	HA	A_HA_H1	1752	1029	23	1356	1334	74.11	611	45.8	Excluir	No
IonXpress_076_232588675	IonXpress_076_232588675.consensus.fasta	H1N1	NA	A_NA_N1	1433	1113	552	1220	669	43.16	349	52.17	Excluir	No
IonXpress_076_232600149	IonXpress_076_232600149.consensus.fasta	H3N2	HA	A_HA_H3	1718	169	38	1689	1652	91.78	103	6.23	Dudosa	Sí
IonXpress_076_232600149	IonXpress_076_232600149.consensus.fasta	H3N2	NA	A_NA_N2	1439	116	48	1383	1336	86.19	13	0.97	Aceptable	Sí
IonXpress_076_232605391	IonXpress_076_232605391.consensus.fasta	H3N2	HA	A_HA_H3	1718	162	41	1689	1649	91.61	93	5.64	Dudosa	Sí
IonXpress_076_232605391	IonXpress_076_232605391.consensus.fasta	H3N2	NA	A_NA_N2	1440	116	48	1386	1339	86.39	15	1.12	Aceptable	Sí
IonXpress_077_232568618	IonXpress_077_232568618.consensus.fasta	H1N1	HA	A_HA_H1	1752	82	35	1720	1686	93.67	16	0.95	Buena	Sí
IonXpress_077_232568618	IonXpress_077_232568618.consensus.fasta	H1N1	NA	A_NA_N1	1433	57	29	1404	1376	88.77	0	0.0	Aceptable	Sí
IonXpress_077_232575083	IonXpress_077_232575083.consensus.fasta	H1N1	HA	A_HA_H1	1752	112	51	1690	1640	91.11	0	0.0	Buena	Sí
IonXpress_077_232575083	IonXpress_077_232575083.consensus.fasta	H1N1	NA	A_NA_N1	1433	69	39	1402	1364	88.0	0	0.0	Aceptable	Sí
IonXpress_077_232581382	IonXpress_077_232581382.consensus.fasta	H1N1	HA	A_HA_H1	1752	1210	341	1042	702	39.0	160	22.79	Excluir	No
IonXpress_077_232581382	IonXpress_077_232581382.consensus.fasta	H1N1	NA	A_NA_N1	1433	804	394	1221	828	53.42	199	24.03	Excluir	No
IonXpress_077_232585462	IonXpress_077_232585462.consensus.fasta	H3N2	HA	A_HA_H3	1718	266	151	1689	1539	85.5	87	5.65	Dudosa	Sí
IonXpress_077_232585462	IonXpress_077_232585462.consensus.fasta	H1N1	NA	A_NA_N1	1433	156	29	1403	1375	88.71	98	7.13	Dudosa	Sí
IonXpress_077_232588702	IonXpress_077_232588702.consensus.fasta	H1N1	HA	A_HA_H1	1752	178	126	1699	1574	87.44	0	0.0	Aceptable	Sí
IonXpress_077_232588702	IonXpress_077_232588702.consensus.fasta	H1N1	NA	A_NA_N1	1433	153	27	1402	1376	88.77	96	6.98	Dudosa	Sí
IonXpress_077_232600174	IonXpress_077_232600174.consensus.fasta	H1N1	HA	A_HA_H1	1752	82	35	1720	1686	93.67	16	0.95	Buena	Sí
IonXpress_077_232600174	IonXpress_077_232600174.consensus.fasta	H1N1	NA	A_NA_N1	1433	57	29	1404	1376	88.77	0	0.0	Aceptable	Sí
IonXpress_077_232605418	IonXpress_077_232605418.consensus.fasta	H3N2	HA	A_HA_H3	1718	28	2	1691	1690	93.89	0	0.0	Buena	Sí
IonXpress_077_232605418	IonXpress_077_232605418.consensus.fasta	H3N2	NA	A_NA_N2	1439	79	29	1388	1360	87.74	0	0.0	Aceptable	Sí
IonXpress_078_232568804	IonXpress_078_232568804.consensus.fasta	H1N1	HA	A_HA_H1	1752	127	54	1690	1637	90.94	12	0.73	Buena	Sí
IonXpress_078_232568804	IonXpress_078_232568804.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_078_232575158	IonXpress_078_232575158.consensus.fasta	H1N1	HA	A_HA_H1	1752	114	35	1690	1656	92.0	18	1.09	Aceptable	Sí
IonXpress_078_232575158	IonXpress_078_232575158.consensus.fasta	H1N1	NA	A_NA_N1	1433	60	29	1401	1373	88.58	0	0.0	Aceptable	Sí
IonXpress_078_232581500	IonXpress_078_232581500.consensus.fasta	H1N1	HA	A_HA_H1	1752	1725	874	900	27	1.5	0	0.0	Excluir	No
